id|userId|nickName|ratingAll|ratingLocation|ratingFacility|ratingService|ratingRoom|commentLevel|travelType|roomName|language|content|checkinDate|usefulCount|grade
645334957|"_FB236310****"|"Shokie"|5|5|5|5|5|Outstanding|"Solo travelers"|"Queen Room With Terrace"|"en"|"Beautiful service provided by the staff, even got a free coffee while at it. Thank you for the excellent service|"2022-10-05 23:59:00"|0|2
622585979|"_WeChat391807****"|"LUCA"|4.5|4|4|5|5|Very Good|"Business travelers"|"Multi-level Double Room"|"en"|"hotel was clean, just the amenities were not directly provided by the staff into the room but always need to ask. good hotel if you are on business trip in changing area|"2022-08-07 23:59:00"|0|2
640397743|"D39945****"|"GuestUser"|5|5|5|5|5|Outstanding|"Business travelers"|"Single Room"|"en"|"friendly and supportive staff 👍👍👍|"2022-09-20 23:59:00"|0|1
542388525|"_WeChat302896****"|"YOUSSEF"|1.5|2|1|1|2||"Couples"|"Multi-level Double Room"|"en"|"The service not so good |"2021-10-04 23:59:00"|0|1
499055424|"M281303****"|"GuestUser"|4.5|5|3|5|5|Very Good|"Business travelers"|"Queen Room With View"|"en"|"Good!|"2021-05-17 23:59:00"|0|1
644374929|"M299932****"|"AnonymousUser"|5|5|5|5|5|Outstanding|"Friends"|"Queen Room With Terrace"|"zh"|Hygiene: good Transportation: very close to the subway Good environment good service|"2022-10-01 00:00:00"|0|1
411045443|"M54975****"|"GuestUser"|1|1|1|1|1||"Business travelers"|"Queen Room With View"|"zh"|Really disgusting, stayed for a week, checked out at 2 this afternoon, and I discussed with the front desk if I could give you another 2 hours for a conference call, I was kicked out  I forgot to clean the room every day. Let me remind you, there is a lot of security at the door. Really rotten and never go again|"2020-03-12 23:59:00"|0|1
715660673|"_WeChat421163****"|"GuestUser"|5|5|5|5|5|Outstanding|"Business travelers"|"Multi-level Double Room"|"zh"|老闆非常友好，前台的小姐姐態度也非常好，會滿足住戶的需求，來北京旅遊非常好的體驗。挺適合辦公人事入住，早餐也非常好！|"2023-01-25 00:00:00"|0|1
650542905|"M267786****"|"GuestUser"|5|5|5|5|5|Outstanding|"Business travelers"|"Queen Room With View"|"zh"|酒店前台服務好，早餐時間七點到十二點時間超長，客房大姐服務也特別好，前台還有啤酒，工作累了可以來一瓶放鬆一下，出門一分鐘就是核酸檢測點，做核酸很方便，下次再來還會繼續入住，非常好的體驗|"2022-10-19 00:00:00"|0|1
643243837|"M244438****"|"GuestUser"|5|5|5|5|5|Outstanding|"Business travelers"|"Superior Double Room"|"zh"|酒店位置優越交通便利，但是也不會喧鬧，高鐵站和地鐵站出門幾分鐘就走到了。酒店設施齊全，房間乾淨整潔，麪積很大，窗外景觀也很好，住的很舒服。前台小楊服務很好，很主動，熱情，送的早餐很棒，很體貼，客房阿姨態度也很好，服務周到，總之，很滿意的一次入住體驗，點贊|"2022-09-27 00:00:00"|0|2
635339611|"1514804****"|"Gaostar"|5|5|5|5|5|Outstanding|"Family"|"Queen Room With View"|"zh"|前台君君服務很熱情，酒店性價比高，地理位置好。房間精緻，很乾凈，通風好，採光好，硬件好，用着舒服，洗澡水溫好，出水流暢！客房阿姨很親切，服務周到。 親子亮點：床靠牆，不用擔心小朋友掉床。 會推薦朋友來住呦~~~~~|"2022-09-04 00:00:00"|0|1
635486983|"1522163****"|"GuestUser"|5|5|5|5|5|Outstanding|"Solo travelers"|"Queen Room With View"|"zh"|來北京玩，順便體驗了上地的CityGo，感覺超不錯，樓下大廳的裝潢風格和帶插座的辦公桌滿分💯！因為攜程會員前台免費升級了房間，日落超美🌄早餐也很豐盛，每天前台還有免費咖啡提供☕️另外前台小姐姐小潔，還有清潔阿姨人都超好，服務太貼心了🥰下次還住這家！|"2022-09-03 00:00:00"|0|1
720033659|"_M1512736****"|"JanuaryD"|5|5|5|5|5|Outstanding|"Family"|"Multi-level Double Room"|"zh"|李素英大姐服務很好，|"2023-01-31 00:00:00"|0|1
656124831|"M440633****"|"GuestUser"|5|5|5|5|5|Outstanding|"Couples"|"Superior Double Room"|"zh"|非常好，不錯，早餐豐富，離核酸點很近，非常方便，前台小霞服務熱情，早餐是到12點，很不錯，非常推薦！|"2022-11-05 00:00:00"|0|1
658775003|"M287728****"|"GuestUser"|5|5|5|5|5|Outstanding|"Solo travelers"|"Multi-level Double Room"|"zh"|清潔阿姨態度很好啊，服務也很好，還送了很多飲料hahahaha。點名表揚下任雲霞阿姨|"2022-11-11 00:00:00"|0|1
706812101|"120197****"|"sxyhn"|5|5|5|5|5|Outstanding|"Business travelers"|"Single Room"|"zh"|房間裏居然還有洗衣機|"2023-01-09 00:00:00"|0|3
656529117|"M351490****"|"GuestUser"|5|5|5|5|5|Outstanding|"Solo travelers"|"Deluxe Double Room"|"zh"|環境很棒 前台服務很優秀 裝修風格很獨特 經常在這家店住|"2022-10-26 00:00:00"|0|2
